"Клиент ИмяФамилия (e-16292784), период 01.03.2023 - 27.06.2023"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
"с 01.03.2023 по 27.06.2023";;11361,40;917727;12829;1170224,30;1,93;-;78;-;-;381;3

"Дата";"Кампания";"№ Кампании";"Группа";"№ Группы";"Тип устройства";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
20.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"планшеты";4;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь";5153889035;"десктоп";4;1;49,90;1,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь";5153889035;"мобильные";6;1;44,70;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"десктоп";2;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"мобильные";10;1;49,82;1,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь";5153889037;"мобильные";7;1;46,30;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания 2023";5153889039;"десктоп";1;1;12,25;1,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания";5153889040;"десктоп";1;1;15,77;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания";5153889040;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский дневной лагерь";5153889041;"десктоп";2;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский дневной лагерь";5153889041;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания детей";5153889042;"десктоп";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь в москве";5153889043;"десктоп";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания москва";5153889045;"десктоп";2;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания москва";5153889045;"мобильные";2;1;52,00;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь дневного пребывания";5153889047;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь в москве дневной";5153889050;"мобильные";5;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний школьный лагерь дневного пребывания";5153889051;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"десктоп";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"мобильные";4;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь в городе москва";5153889054;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь свао";5153889058;"десктоп";4;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь свао";5153889058;"мобильные";4;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь вао";5153889061;"мобильные";1;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания москва";5153889062;"мобильные";3;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания летом";5153889065;"мобильные";5;1;32,84;1,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь вао";5153889073;"мобильные";2;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь зао";5153889080;"мобильные";2;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневные лагеря в москве для детей";5153889090;"мобильные";3;0;0,00;-;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь без ночевки";5153889103;"мобильные";5;2;108,91;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь небо";5153889104;"мобильные";1;1;20,00;1,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"десктоп";205;2;3000,00;3,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"мобильные";57;3;0,00;2,00;-;-;-;-;-;-
21.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"планшеты";1;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь";5153889035;"мобильные";6;1;27,71;2,00;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"десктоп";3;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"мобильные";6;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь";5153889037;"мобильные";1;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь";5153889037;"планшеты";3;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь в городе";5153889038;"планшеты";1;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания 2023";5153889039;"мобильные";1;0;0,00;-;-;-;-;-;-;-
22.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания";5153889040;"десктоп";1;0;0,00;-;-;-;-;-;-;-
